	class	class id	text_clean_lemma_as_str
739	Компетентность продавцов/ консультантов	1	выкупить заказ причина навязывание продавец страхование жизнь продавец магазин отказаться продавать товар рассрочка оформление страховка
740	Обслуживание продавцами/ консультантами	6	грязный товар продавец игнорировать обращение покупатель
741	Компетентность продавцов/ консультантов	1	1 сотрудник выдача заказ заинтересованы клиент получение заказ осмотр товар моб телефон samsung прийтись проводить самой 2 обращение сотрудник отдел сотовый телефон просьба помочь предмет проверка битый пиксель экран имя знать т смотреть бейджик навязать платный диагностика сказать проверить лишь внешний повреждение считать данное поведение приемлемый тому фактически следовать нажать несколько кнопка телефон удовлетворить просьба покупатель
742	Обслуживание продавцами/ консультантами	6	поведение сотрудник магазин выдача товар несоответсвует профессионально этика первый случай продавец выдача заказ касса вялый незаинтересованный зачастую дезинформируют оплата онлайн приходиться нескольку обращаться товар
743	Компетентность продавцов/ консультантов	1	продавец пообещать умный пульт 1 руб покупка добавить заказ просто знать это сделать молча оформить прийтись отменить заказ
744	Время ожидания у кассы	7	огромный спасибо оличем болтать консультант зал это зона выдача заказ касса абсолютно пустой подойти единственный сотрудник зона прийтись ждать очередь абсолютно некомпетентный распределение сотрудник
745	Электронная очередь	2	долгий обслуживание талончик вход ещё нужный брать
746	Компетентность продавцов/ консультантов	1	отвратительный работа сотрудник
747	Электронная очередь	2	вводить электронный очередь факт мочь оказаться последний очередь занять живой очередь например сегодня взять талон а16 а17 стоить ждать вынести отдать товар ещё двое подойти взять талон это встать очередь обслужить вперёд спрашивать нафига электронный талон занять место живой очередь
748	Компетентность продавцов/ консультантов	1	выдача продавец отказываться оформлять гарантийник должный образ
749	Вежливость сотрудников магазина	4	хамовитое отношение сотрудник магазин южный шоссе 5 товар укомплектовать потерять пульт документ решать вопрос хотеть сотрудник развернуться уйти сказать брать пульт проблема горячий линия ничто посоветовать
750	Доступность персонала в магазине	3	продавец место зато банковский прочие промоутер
751	Электронная очередь	2	знать сначала взять талончик номер это нормальный затем ждёте вызов подойти продавец порекомендовать стать живой очередь
752	Компетентность продавцов/ консультантов	1	заказ оформить сайт благо оплатить сразу прийти смс оповещение заказ ждать проверить телеграм бот проверить заказ готовый выдача далее приехать магазин получение который расположен адрес пл конституция обнаружить выдача никто подойти сотрудник которые просто сидеть болтать сказать хотеть получить заказ ответ никто одолжение сотрудник долго смотреть база сказать дите мужчина чёрный футболка другому продавец витринный образец пойти думать ладно говорить продавец чтоя заказ показать объяснять другим посетитель оформляться заказ ждать итог прождать около получаса сказать мочь найти заказ приходить завтра эточто поведение отношение сотрудник данного магазин ваш клиентоориентированность работать сфера обслуживание отношение запрет
753	Консультация КЦ	0	оператор мудак
754	Время ожидания у кассы	7	долго ждать магазин душно огромный очередь ещё размагнитить покупка пищать весь магазин испортить шопинг
755	Обслуживание на кассе	5	кассир неприятный взаимодействовать обучить нормально взаимодействовать клиент разный возраст
756	Доступность персонала в магазине	3	прождать зона выдача минута 20 никто выйти склад продавец касса рядом выдержать помочь выдать товар стол зона выдача беспорядок пунктуальность никакой
757	Компетентность продавцов/ консультантов	1	первый весь консультант максимально пофиг клиент второй битый пиксель консультант предложить вариант решение просто положить большой болт клиент заходить ваш магазин создаваться ощущение весь обязанный хотя клиент тебе должный предлагать рассказывать
758	Компетентность продавцов/ консультантов	1	неудовлетворительный работа сотрудник магазин
759	Обслуживание продавцами/ консультантами	6	продавец совершенно заинтересованы покупатель ждать приходиться бесконечно сидеть делать вид это касаться
760	Обслуживание на кассе	5	магазин выдача работать хам вид обслуживать госучреждение одной поставить мочь
761	Вежливость сотрудников магазина	4	заказ оплатить интернет магазин отдавать заказ очень долго находиться статус оплаченном хотя показать выпеску оплата равный отдавать грубо общаться вежливо это продавец кассир охрана всем искать подвох спрашиваться человек брать работа уметь вообще общаться клиент приносить деньга это ваш зарплата ужасный отношение хотеться покупать ужасный магазин город обнинск тц атлас разочаровать хотя ранний нравиться время меняться посоветовать убирать продавец которые уметь лояльно общаться покупатель
762	Консультация КЦ	0	обратиться служба поддержка консультант сначала донести точный информация заказ разбирательство повторить операция заказ звонок специалист дождаться проблема промокодом пока неудовлетворён работа помощь клиент обратить внимание работа свой специалист ждать звонок полчаса
763	Электронная очередь	2	прийти стоять очередь сказать взять талончик табло ожидание подбор сотрудник итог сказать нужный подходить персонал пробить чек направить зона выдача вмасто прийти забрать товар 5 10 минута потратить 30 разобраться вообще идти получать
764	Вежливость сотрудников магазина	4	сотрудница грубый
765	Электронная очередь	2	прийти магазин получить талон сотрудник касса сказать заказ ещё собрать выдать мочь товар наличие
766	Доступность персонала в магазине	3	весь магазин сотрудник который очень очень долго оформлять возврат предыдущий покупатель человек дождаться свой очередь уходить число
767	Вежливость сотрудников магазина	4	пакет дать пыльный коробка тащить прижать коробка тяжёлый куртка прийти ужасный состояние требоваться химчистка продавец марьин роща отстой вернее ребята которые выносить товар склад понимать маленький зп унизительный работа нужный учиться подойти спросить свой товар посмотреть идиот вынести коробка молча кинуть стол уход показать жест дать отсканировать код дубликат чек подождать пара минута спрашивать продавец это который это всё видеть говорить говорить парень склад глухонемой развести рука магазин райкин плаза рекомендовать никто обходить это место сторона
768	Электронная очередь	2	вечно магазин пол час товар отдавать талон приложение нафиг нужный персонал довольный раздражительный ббольше делать заказ
769	Обслуживание продавцами/ консультантами	6	длительный время ожидание магазин сотрудник заинтересованы работа выдача заказ прийтись ждать около 20минут
770	Компетентность продавцов/ консультантов	1	продавец магазин смочь найти товар отсутствовать обслуживание послать нахуй
771	Компетентность продавцов/ консультантов	1	продавец стоять трепаться работать хотеть весь вопрос касаемо товар ответ знать вид продавец заметно рад магазин пустой персонал собираться зарабатывать деньга
772	Время ожидания у кассы	7	получить оплатить онлайн товар приходиться очередь общий стоять полчаса быстрый взять зал отнести касса оплатить знать долго стоять прийтись очередь оплатить онлайн
773	Электронная очередь	2	талон очередь продолжать 40 минводы итог отправить отдел другом конец торговый центр
774	Обслуживание на кассе	5	хотеть оставить отзыв обслуживание ваш магазин город старый оскол м н дубрава отвратительный кассир уйти просто нос одна село недалеко касса компьютер подойти хотя видеть долго стоять пока сама подойти надоесть ждать отдать заказ первый сталкиваться отвратительный отношение ваш магазин город старый оскол
775	Обслуживание продавцами/ консультантами	6	очень долгий ожидание сотрудник выдача товар весь мимо сотрудник проходить списываться одного занять мочь служебный помещение рассхаживали сотрудник понимать куча народ очередь стоять народ пара человек сотрудник самый плохой магазин новокосино обслуживание клиент
776	Электронная очередь	2	куча специалист сидеть ничто делать отфутболивают друг другу написать выдача интернет заказ тебе никто ничто выдать отправить касса стоять очередь талон равный нигде отражаться
777	Время ожидания у кассы	7	очень медленный сотрудник выдача инет заказ ещё ловить тип висеть первый очередь получение простоять минута 20
778	Компетентность продавцов/ консультантов	1	навязывать дополнительный услуга
779	Электронная очередь	2	работать терминал талонами очередь долго ждать выдача
780	Обслуживание продавцами/ консультантами	6	заказ сделать онлайн прийти забирать проверка товар касса девушка сказать бонус которые списать номер телефон которому привязать аккаунт почта сотрудник коем образ смочь помочь отправить код электронный почта сидеть болтать другим сотрудник спустя 50 мина код почта прийти хотя говорить ждать ждать ужасный отношение сто сотрудник ходить недовольный лицо помощь вопрос оказать
781	Компетентность продавцов/ консультантов	1	заказ забрать товар качественный работать расстроить отношение клиент пока продавец видеть скидка пытаться навязать 700руб гарантия увидеть скидка желание пропасть это думать корректно
782	Электронная очередь	2	прийти потыкал монитор взять бумажка сесть стул монитор поиск сотрудник просидеть 10 мина пропасть подойти получить ждать монитор бумажка хотеться максимально быстро получать заказ понимать розница это преимущество супер скорость выдача казаться
783	Время ожидания у кассы	7	долго стоять очередь забрать заказ
784	Вежливость сотрудников магазина	4	научиться подбирать персонал нахамить успеть исправить ошибка успеть удача
785	Вежливость сотрудников магазина	4	магазин работать хам
786	Компетентность продавцов/ консультантов	1	ужасный обслуживание девушка продавец дать возможность ознакомиться товар открыть витрина направить соседний магазин самсунг слово товар витрина смотреть позор мвидео разочаровать очень сильно написать отзыв различный площадка покупатель направлять продавец
787	Обслуживание продавцами/ консультантами	6	хороший работник выдача заказ клиентоорентированы радость встречать покупатель хотеться извиниться ними отвлекать интересный беседа которая прерываться
788	Вежливость сотрудников магазина	4	прождать 30 минута пока открыться магазин ночь находиться далеко хрен доберешься охраник вход вообще отдельный история вместо нормальный встретить клиент пускать зал отношение ужасный 20 минута ждать продавец конец ки дождаться зависнуть компьютер вобщем понравиться магазин пойти
789	Вежливость сотрудников магазина	4	провец поздороваться хотя поздороваться это красивый
790	Компетентность продавцов/ консультантов	1	некомпетентный персонал
791	Обслуживание продавцами/ консультантами	6	продавец кассир достаточно долго переговариваться коллега касса игнорировать хотеть сделать замечание мешать заметить зал пустой клиент очередь странный поведение сотрудник
792	Консультация КЦ	0	общение оператор мною указать хотеть приобрести товар рассрочка данный оператор это услышать выслать ссылка оплоту товар начать общаться другим оператор оператор помочь оформить выбрать мною товар рассрочка образ ранее выслать ссылка оказаться востребовать
793	Компетентность продавцов/ консультантов	1	заказать смартфон прийти магазин товар стойка выдача заказ нам начать показывать другие вариант смартфон итог уйти смартфон это больший ошибка продавец консультант
794	Компетентность продавцов/ консультантов	1	товар нарекание процесс получение товар магазин ужасный весь магазин продавец которых пол час ожидание очередь первый выдача интернет заказ занять телефон второй обслуживать консультировать человек зал оформлять покупка несколько человек просьба сначала выдать интернет заказ т прийти ранний весь покупатель сказать пока обслужить зал интернет заказ выдавать прийтись ждать пол час постараться избегать дальнейший магазин около метро кировский завод
795	Обслуживание на кассе	5	кассир выдачи плохо работать грубить навязывать услуга
796	Обслуживание продавцами/ консультантами	6	консультант выполнять роль манекен шарахаться покупатель лишь работать выдача сидеть трое ждать выдача прийтись очередь покупатель хотя весь магазин
797	Вежливость сотрудников магазина	4	товар выдать проверка прийтись проверять самому охранник подойти время проверка стать давать комментарий которые принцип нужный просто хам
798	Доступность персонала в магазине	3	получение товар сотрудник прийтись долго ждать
799	Время ожидания у кассы	7	выдача сотрудник собраться очередь прийтись долго ждать
800	Компетентность продавцов/ консультантов	1	очень компетентный сотрудник абсолютно понравиться обслуживание
801	Компетентность продавцов/ консультантов	1	бэ консультант мочь вежливый
802	Обслуживание продавцами/ консультантами	6	прийтись долго ждать выдача заказ сервис сидеть 3 сотрудник ковыряться нос выдача товар находиться сотрудник белок колесо крутиться бардак короткий
803	Вежливость сотрудников магазина	4	нервный продавец
804	Компетентность продавцов/ консультантов	1	сотрудник магазин доброжелательный
805	Консультация КЦ	0	оценка работа магазин 0 оценка работа оператор 0 6 рассказывать почему хотеть читать переписка
806	Компетентность продавцов/ консультантов	1	должный изменить пофигизм безответственность сотрудник
807	Компетентность продавцов/ консультантов	1	оформление рассрочка подключаете доп услуга которым согласный отключить
808	Электронная очередь	2	безобразно работать терминал электронный очередь
809	Компетентность продавцов/ консультантов	1	менеджер хамовито навязывать дополнительный услуга вводить заблуждение уверять закон зпп рф работать ряд вон плохой стоить надеяться закон нужный оплатить доп гарантия заказать доп услуга перевешиваете дверь неадекватный деньга спать спокойно
810	Компетентность продавцов/ консультантов	1	опыт общение очень неприятный персонал магазин
811	Электронная очередь	2	приложение кнопка получить товар нажать появиться штрихкод цифра написать пройти получение заказ показать сотрудник склад штрихкод итог простоять 15 минута сотрудник склад грубый форма отправить сотрудник оплата товар совершенно реагировать слово товар оплатить получить показать штрихкод надпись товар выдать склад снова отправить оплачивать заказ сотрудник сказать приложение кнопка получить талон товар работать пойти терминал взять бумажный талон штрихкод покупатель знать приложение раблтает функция получить товар нужный получение интернет заказ взть бумажный талон приложение электронный талон работать весь это грубый форма извинение выставление бестолковый сотрудник склад вообще грубить убеждать заказ оплатить очень неприятно это накануне праздник
812	Время ожидания у кассы	7	стоять очередь касса девушка сидеть смотреть молча уйти другую касса подумать позвать перейти
813	Электронная очередь	2	это просто кошмар получить талон 21 08 21 43 заказ ещё выдать мной никто мной 4 человек получить безобразный обслуживание никто ге реагировать вопрос замечание
814	Время ожидания у кассы	7	долгий ожидание пока освободиться касса
815	Обслуживание на кассе	5	отвратительный отношение клиент зона выдача заказ прийти получать заказ подойти касса говорить здравствовать получить интренет заказ девушка которая стрелко сидеть касса никак отреагировать спустя 15 20 секунда отвечать мысль читать уметь номер заказ диктовать здравствовать ничто хамский отношение самом задрипанном рынок хамство встретить
816	Консультация КЦ	0	оператор верно оформить заказ просьба изменение заказ оператор михайлов татьяна петрович перестать отвечать выходить связь это направить заявление возврат денежный средство которые нам ещё вернуться халатность ваш оператор выкупить заказ продолжить вами сотрудничество крупный покупка
817	Время ожидания у кассы	7	очередь больший очень магазин кассир
818	Вежливость сотрудников магазина	4	ваш сотрудник место магазин найти отдать оплатить заранее заказ нахамить пожилой женщина 73 год которой кнопочный телефон интернет найти номер заказ сидеть вообще консультант хам бездельник
819	Вежливость сотрудников магазина	4	грубый продавец хамить желание идти магазин
820	Обслуживание продавцами/ консультантами	6	продавец выдача явно никуда торопиться еле еле душа тело понимать быстрый обслужить покупатель интерес
821	Консультация КЦ	0	товар долго доставлять написать оператор почему оператор отменить заказ хотя говорить заменить предложить альтернатива написать обращение 23 029543 сей пора понимать почему оператор екатерина отменить заказ вопрос заменить это некомпетентный оператор ещё отвечать 30 минута требовать товар
822	Вежливость сотрудников магазина	4	научить сотрудник служба выдача онлайн заказ общаться клиент хамить перепуганно смотреть клиент задавать вопрос одним слово общение сотрудник служба выдача заказ первый портить весь покупка
823	Вежливость сотрудников магазина	4	тц коллаж пенза продавец хамло телефон осматривать дать
824	Компетентность продавцов/ консультантов	1	консультант вообще ноль выдать заказ слово сообщить возможность проверка далее магазин вопрос поразить безразличие
825	Обслуживание продавцами/ консультантами	6	нравиться искать продавец отвлекать важный беседа ждать договорят дойти касса отдать оплатить товар
826	Компетентность продавцов/ консультантов	1	отвратительный работа сотрудник которые выдавать товар
827	Время ожидания у кассы	7	больший очередь выдача желать сотрудник видимо 15 минута ожидать
828	Обслуживание на кассе	5	кассир очень доброжелательный видимо помешать заниматься другими дело магазин товар нравиться стараться покупать м видео продавец ходить хотеться ещё заметить именно магазин жердев 104б ужасный обслуживание консультант приходиться бегать искать весь магазин кассир недовольный балтахинов провести беседа управлять
829	Доступность персонала в магазине	3	очень долгий выдача заказ сотрудник место прийтись ждать готовый терять свой время ваш магазин
830	Компетентность продавцов/ консультантов	1	здравствовать хотеть приобрести ноутбук консультант полностью игнорировать просьба предлагать категорично хонор хуавей отказ приобрести данную модель переходить игнор итог подойти 6 консультант помочь выбор почему должный покупать хонор хуавей непонятно расстроиться безумно
831	Компетентность продавцов/ консультантов	1	дд заказ выдать проверить выдавать сами проверить оформить возврат сотрудник хотеть верить итог сверить согласиться это сумка мак бук весь остальное нормальный просьба подобрать другую сумка наличие отказать ссылаться сотрудник сами пойти выбрать это витринный товар грязный пыльный сотрудник которому это показать стоять товар други клиент пытаться сдуть пыль стереть ладно думать сами протрем касса спросить кассир почему товар пыльный ответить работник забрать служба призыв видимо девочка желать мочь прислать трудоустройство лично это принять насмешка знать ответить промолчи попросить передать начальство наш просьба протереть пыль пакет предложить платный купить товар сумма 137 т рубль копейками сами попросить купить
832	Компетентность продавцов/ консультантов	1	сделать онлайн заказ заказать яндекс станци 12 айфон прийти касса выдача девушка недовольный лицо пойти искать заказ оказаться станция новый витрина хотя сайт это слово указать это очень расстроить подарок прийтись брать витрина её принести попросить проверить работать вообще т витрина мало услышать 14 день дома проверить сервис ужасный отношение лента ужасный девушка кредитный отдел спасибо объяснить 5 звезда
833	Доступность персонала в магазине	3	очень долго касса никто прийтись ждать сотрудник соизволить пойти рабочий место выдача очень долго
834	Компетентность продавцов/ консультантов	1	внимательный продавец делать ошибка
835	Обслуживание продавцами/ консультантами	6	день добрый получать компьютерный корпус вторник вечер около 19 00 магазин пустой получение интернет заказ скопиться 5 покупатель выдача продавец рядом куча работник никто помогать сидеть плевать потолок парень выдача нему претензия весь добро
836	Время ожидания у кассы	7	след вообще подумать стоить брать именно мина 15 простоять очередь вообще заказывать онлайн прийти забрать заказ несколько минута стоять всеми очередь обычный касса понимать всё одном место
837	Компетентность продавцов/ консультантов	1	касса очень активно пытаться продать плёнка телефон слишком навязчивый это понравиться
838	Компетентность продавцов/ консультантов	1	обманный путь утаить информация добавить услуга страхование заказа сумма переплата составить 21000рублей отвратительно жаль компания начать обманывать покупатель впихивать чек втихую услуга которые нужный
839	Время ожидания у кассы	7	очень больший очередь получение заказ сотрудник обслуживать очень медленно
840	Электронная очередь	2	понять работать электронный табло номер всё равный стоять очередь объяснять менеджер прийти
841	Компетентность продавцов/ консультантов	1	хотеться уважительный отношение сторона сотрудник данном случай речь идти сотрудник который выдавать заказ зона разгрузка человек сразу выйти отдать заказ прийтись возвращаться магазин просить повторно отдать заказ
842	Обслуживание продавцами/ консультантами	6	подойти стойка выдача заказ товарищ мило беседовать свой обращать внимание некоторый время вопрос выдать заказ сказать подождать продолжить свой беседа побеседовать продавец недовольный вид выдать заказ крайне возмутить отношение покупатель надеяться примите мера свой продавец клиентоориентированы
843	Компетентность продавцов/ консультантов	1	навязчивость консультант выдача заказ надоесть впаривают страховка предлагать оплатить q код считать покупатель тупица заказать товар онлайн значить хотеть контакт продавец система давно мвидео система премия видимо специфический
844	Вежливость сотрудников магазина	4	уволить хам 3 отказаться выдавать заказ приложение нагрубить послать живой очередь магазин хотеть возвращаться туда
845	Компетентность продавцов/ консультантов	1	оформление заказ онлайн рассрочка услуга смс оповещение мною отключить т е снимать галочка данной услуга подписание документ магазин сотрудник сказать услуга отключить невозможный это огорчить покупка
846	Доступность персонала в магазине	3	слишком долгий ожидание нужный самим найти сотрудник нам пробить мочь долго найти заказ хотя это онлайн заказ
847	Обслуживание на кассе	5	исключить хамство сотрудник касса
848	Вежливость сотрудников магазина	4	сама покупка порадовать персонал магазин вообще слово безответственность полный оплатить заказ просто получить очередь сидеть человек касса говорить ожидать прождать 5 10 минута спросить персонал который выдаёт объяснить просто получить заказ грубо ответить голос ожидать далёкий чём молодой человек ходить туда сюда видеть слышать получить заказ некоторый время подойти выдать заказ правда бардак уважаемый администратор наведите порядок среди свой персонал клиент потерять точно магазин приехать заказывать тебе относиться должный обязанный сказать надменно надеяться администратор директор увидеть комментарий навести порядок рабочий место спасибо
849	Время ожидания у кассы	7	очередь выдача отсутствие сотрудник
850	Компетентность продавцов/ консультантов	1	улыбка приветствие клиент проверять товар рабочий дефект почему должный просить хотя это обязанность консультант одним слово сервис хромать
851	Компетентность продавцов/ консультантов	1	прийти магазин хотеть получить консультация менеджер который заказать менеджер очень развязать сказать 80000 га гарантия лично давать менеджер хозяин м видео ощущение самого аппаратура лям хотеть самсунг нам навязывать другие бренд возможный процент продажа высоко менеджер предлагать удовольствие покупать отпасть купить другом место немного дорогой получить консультация 100 руководитель м видео дабы терять покупатель советовать разобраться персонал
852	Компетентность продавцов/ консультантов	1	сотрудник женщина которая оставить самые хороший покупка вообще магазин
853	Обслуживание продавцами/ консультантами	6	муж приехать забирать заказ игнорировать ходить мимо сказать хотеть забрать интернет заказ сказать ждать клиент момент обслуживание оставлять желать хороший
854	Компетентность продавцов/ консультантов	1	сделать заказ час 12 день это последний выставочный экземпляр попросить связаться консультант узнать состояние час никто перезвонить вечер приехать час сначала долго искать консультант магазин оказаться чтотччасы разрядить продавец сказать хотеть ждать полчаса пока зарядятся время начало десятый смысл находиться магазин видеть смысл
855	Вежливость сотрудников магазина	4	формирование заказ видеть искать кофе капсула неспрессо итог заказать капсула которые подходить машина это кошмар никто обвинять подготовленность ваш менеджмент оставлять желать хороший плюс общение менеджер клиент язык общение это отдельный история
